รายงานยอดขาย,,,,,,,,,,,,,,,,,,,
ชื่อบริษัท,บริษัท ธน พลัส 153 จำกัด,,,,,,,,,,,,,,,,,,
เลขผู้เสียภาษี :,0105553095785,,,,,,,,,,,,,,,,,,
ช่วงเวลา :,กุมภาพันธ์ 2026,,,,,,,,,,,,,,,,,,
,,,,,,,สกุลเงินหลัก( บาท),,,สกุลเงินอื่น,,,,,,,,,
ลำดับที่,เลขที่เอกสาร,วัน/เดือน/ปี,ชื่อลูกค้า,ชื่อโปรเจ็ค,เลขผู้เสียภาษี,สำนักงานใหญ่/สาขา,มูลค่า,ภาษีมูลค่าเพิ่ม,ยอดรวมสุทธิ,สกุลเงินในเอกสาร,อัตราแลกเปลี่ยน,ยอดรวมสุทธิ,เอกสารอ้างอิงในระบบ,เลขที่อ้างอิง,เอกสารอ้างอิงรับมัดจำ,สถานะ,พนักงานขาย,หมายเหตุ,โน้ต (สำหรับใช้ภายในบริษัท)
12,INV2026020025,14/02/2026,บริษัท เกร๊ต อิสเทอร์น ดรั๊ก จำกัด,,0105504001772,สำนักงานใหญ่,"29,712.50","2,079.88","31,792.38",THB,1.00,"31,792.38",BL2026010042,BL2026010042,,เปิดใบเสร็จแล้ว,กรณิการ์,"**ไม่สามารถหักภาษี ณ ที่จ่ายได้ เนื่องจากเป็นการซื้อมาขายไป**
มัดจำ50%ก่อนเริ่มงาน ชำระ50%ส่วนหลังก่อนส่งสินค้า","รับเงินมัดจำ ของใบเสนอราคาเลขที่ QT2026010055 มูลค่า 63,584.75 บาท"
13,INV2026020024,06/02/2026,บริษัท ไทยเมเดนชา จำกัด,,0105509001819,สำนักงานใหญ่,"14,445.00","1,011.15","15,456.15",THB,1.00,"15,456.15",BL2026010041,BL2026010041,,เปิดใบเสร็จแล้ว,กรณิการ์,"**ไม่สามารถหักภาษี ณ ที่จ่ายได้ เนื่องจากเป็นการซื้อมาขายไป**
มัดจำ50%ก่อนเริ่มงาน ชำระ50%ส่วนหลังก่อนส่งสินค้า","รับเงินมัดจำ ของใบเสนอราคาเลขที่ QT2026010068 มูลค่า 30,912.30 บาท"
14,INV2026020023,16/02/2026,บริษัท จีเอ็มเอ็ม ทีวี จำกัด,ค่าโมลแท่งไฟJASPER Light Stick,0105538092304,สำนักงานใหญ่,"576,000.00","40,320.00","616,320.00",THB,1.00,"616,320.00",BL2026020024,BL2026020024,,เปิดใบเสร็จแล้ว,ภัทธิยา,"**ไม่สามารถหักภาษี ณ ที่จ่ายได้ เนื่องจากเป็นการซื้อมาขายไป**
ระยะเวลาทำแม่พิมพ์: ประมาณ 30 วัน
ชำระ100%ก่อนเริ่มงาน",
15,INV2026020022,16/02/2026,บริษัท จีเอ็มเอ็ม ทีวี จำกัด, JASP.ER,0105538092304,สำนักงานใหญ่,"392,600.00","27,482.00","420,082.00",THB,1.00,"420,082.00",BL2026020023,BL2026020023,,เปิดใบเสร็จแล้ว,ภัทธิยา,"**ไม่สามารถหักภาษี ณ ที่จ่ายได้ เนื่องจากเป็นการซื้อมาขายไป**
",
16,INV2026020021,16/02/2026,บริษัท จีเอ็มเอ็ม ทีวี จำกัด,LYKN,0105538092304,สำนักงานใหญ่,"362,400.00","25,368.00","387,768.00",THB,1.00,"387,768.00",BL2026020022,BL2026020022,,เปิดใบเสร็จแล้ว,ภัทธิยา,"**ไม่สามารถหักภาษี ณ ที่จ่ายได้ เนื่องจากเป็นการซื้อมาขายไป**
",
17,INV2026020020,16/02/2026,บริษัท จีเอ็มเอ็ม ทีวี จำกัด,CLO’VER,0105538092304,สำนักงานใหญ่,"109,650.00","7,675.50","117,325.50",THB,1.00,"117,325.50",BL2026020021,BL2026020021,,เปิดใบเสร็จแล้ว,ภัทธิยา,"**ไม่สามารถหักภาษี ณ ที่จ่ายได้ เนื่องจากเป็นการซื้อมาขายไป**
",
18,INV2026020019,16/02/2026,บริษัท จีเอ็มเอ็ม ทีวี จำกัด,GEMINI,0105538092304,สำนักงานใหญ่,"122,400.00","8,568.00","130,968.00",THB,1.00,"130,968.00",BL2026020020,BL2026020020,,เปิดใบเสร็จแล้ว,ภัทธิยา,"**ไม่สามารถหักภาษี ณ ที่จ่ายได้ เนื่องจากเป็นการซื้อมาขายไป**
",
19,INV2026020018,09/02/2026,บริษัท งามพริ้งพันล้าน จำกัด                                                                                                                                           ,,0165563000329,สำนักงานใหญ่,"26,795.00","1,875.65","28,670.65",THB,1.00,"28,670.65",QT2026020034,QT2026020034,,เปิดใบเสร็จแล้ว,ธิติสรร,"**ไม่สามารถหักภาษี ณ ที่จ่ายได้ เนื่องจากเป็นการซื้อมาขายไป**
มัดจำ50%ก่อนเริ่มงาน ชำระ50%ส่วนหลังก่อนส่งสินค้า",
20,INV2026020017,13/02/2026,องค์การสวนสัตว์ แห่งประเทศไทย ในพระบรมราชูปถัมภ์,,0994000164866,,"9,180.00",642.60,"9,822.60",THB,1.00,"9,822.60",QT2026010034,QT2026010034,,เปิดใบเสร็จแล้ว,ปภัชญา,"**ไม่สามารถหักภาษี ณ ที่จ่ายได้ เนื่องจากเป็นการซื้อมาขายไป**
",
21,INV2026020016,03/02/2026,บริษัท กองสลากพลัสมาร์เก็ต จำกัด,,0105566026175,สำนักงานใหญ่,"3,000.00",210.00,"3,210.00",THB,1.00,"3,210.00",BL2026010040,BL2026010040,,เปิดใบเสร็จแล้ว,กรณิการ์,"**ไม่สามารถหักภาษี ณ ที่จ่ายได้ เนื่องจากเป็นการซื้อมาขายไป**
",
22,INV2026020015,13/02/2026,บริษัท ยันม่าร์ เอส.พี. จำกัด,,0105531037740,สำนักงานใหญ่,"14,725.00","1,030.75","15,755.75",THB,1.00,"15,755.75",BL2026020011,BL2026020011,INV2026020003,เปิดใบเสร็จแล้ว,อทิตยา,"**ไม่สามารถหักภาษี ณ ที่จ่ายได้ เนื่องจากเป็นการซื้อมาขายไป**
ส่งงานวันที่ 13 ช่วงเย็น / ตัดเย็บเสื้อทั้งหมดมาเลย
มัดจำ50%ก่อนเริ่มงาน ชำระ50%ส่วนหลังก่อนส่งสินค้า",
23,INV2026020014,12/02/2026,บริษัท คีฟ เอส. จำกัด,,0105567246055,สำนักงานใหญ่,"37,800.00","2,646.00","40,446.00",THB,1.00,"40,446.00",BL2026010050,BL2026010050,,เปิดใบเสร็จแล้ว,อทิตยา,"**ไม่สามารถหักภาษี ณ ที่จ่ายได้ เนื่องจากเป็นการซื้อมาขายไป**
ชำระ100%",
24,INV2026020013,06/02/2026,บริษัท ซีคอน บางแค  จำกัด,,0105533053882,สำนักงานใหญ่,"5,080.00",355.60,"5,435.60",THB,1.00,"5,435.60",BL2026010033,BL2026010033,,เปิดใบเสร็จแล้ว,พัชรณัณฐ์,"**ไม่สามารถหักภาษี ณ ที่จ่ายได้ เนื่องจากเป็นการซื้อมาขายไป**
มัดจำ50%ก่อนเริ่มงาน ชำระ50%ส่วนหลังก่อนส่งสินค้า","รับเงินมัดจำ ของใบเสนอราคาเลขที่ QT2025120011 มูลค่า 10,871.20 บาท"
